reviews,price,drink,dessert,service,customers,interior,view,parking,etc,trash
만족도 최상의 커피 맛집,,1,,,,,,,,
찐 커피 맛집,,1,,,,,,,,
로마노 진짜 달달하고 맛있고,,1,,,,,,,,
아이스크림 라떼도 꼬소하고 달달하고 진짜 맛있어요!!,,1,,,,,,,,
마리토쪼도 크림 부드럽고,,,1,,,,,,,
빵도 포실포실 재방문 의사 있어요,,,1,,,,,,,
커조남 커피는 힐링입니다,,1,,,,,,,,
소금 빵도 맛있어요,,,1,,,,,,,
시나몬 롤 맛있어용,,,1,,,,,,,
하지만 소금 빵은 동굴이 없고 좀 말라 있어서 아쉬웠어요,,,1,,,,,,,
드립커피하면 커조남!,,1,,,,,,,,
오늘 드립커피는 좀 애매한 맛이긴했지만,,1,,,,,,,,
리필 커피가 맛있어서 괜춘,,1,,1,,,,,,
바로 앞 공영 주차장에 주차 가능,,,,,,,,1,,
최애 커피집입니다,,,,,,,,,,1
앞산에 있을 때부터 좋아하던 곳이라 계속 가게 되네요,,,,,,,,,,1
크리스마스 페어에서도 로마노 한 잔,,1,,,,,,,,
더웠는 데 시원하게 상큼하게 잘 마셨습니다,,1,,,,,,,,
커피 맛집,,1,,,,,,,,
커피 맛을 조금 아는 남자가 반갑게 맞아 주는 찐 커피 맛집!!,,1,,,,,,,,
리모델링하고는 처음 가 봤는데 인테리어도 더 이쁘고,,,,,,1,,,,
디저트도 많아진 거 같아서 좋아요!!,,,1,,,,,,,
커피는 여전히 너무 맛있네요,,1,,,,,,,,
로마노는 처음 마셔 봤는데 완전 신세계!!!,,1,,,,,,,,
레몬 맛 크림에 에스프레소라니 완전 취저 당했어요,,1,,,,,,,,
디카페인 라떼도 생각보다 맛있어서 충격적..,,1,,,,,,,,
디카페인 맛있는 카페 없던데 여기는 찐이네요,,1,,,,,,,,
커피도 맛나고,,1,,,,,,,,
리필도 되니 늠 좋네요,,1,,1,,,,,,
커피가 너무 맛있어요.,,1,,,,,,,,
디카페인 커피 원두 시음해 보고 맛있어서 구매했습니다,,1,,,,,,,,
드립커피는 별로 안 좋아해서..,,1,,,,,,,,
전에 마셔 보지 못한 카페오레가 궁금해서요.,,1,,,,,,,,
카페오레 온도가 참 좋아요.,,1,,,,,,,,
소금 빵과 잘 어울리는 맛입니다.,,1,1,,,,,,,
평일에도 항상 사람들 많고,,,,,1,,,,,
직원 분들 모두 친절하시고,,,,1,,,,,,
무엇보다 커피 맛 정말 최고에요!,,1,,,,,,,,
디카페인 추가 금액 없는 곳 커조 남 뿐일 것 같아요!,,1,,1,,,,,,
그리고 리필된다는 점,,1,,1,,,,,,
카페오레 맛있습니다.,,1,,,,,,,,
빵 종류는 오후에 나옵니다.,,,1,,,,,,,
커피 너무 맛있어요!!,,1,,,,,,,,
12시 오픈 때 가도 금새 사람들로 꽉 차서 카페 안이 말소리에 울려 대화가 안 될 정도였어요 만추의 끝 자락에 추운 겨울이 오면,,,,,1,,,,,
굿 커피 맛 좋아요,,1,,,,,,,,
빵이랑 음료 다 맛있었어요!,,1,1,,,,,,,
주문한 메뉴를 자리까지 가져다 주셔서 좋았어요!,,,,1,,,,,,
디저트도 그렇고,,,1,,,,,,,
커피가 정말 맛있어요.,,1,,,,,,,,
친절하네요,,,,1,,,,,,
커피가 맛있어요.,,1,,,,,,,,
커피 맛 좋기로 유명해서 종종 와요,,1,,,,,,,,
베이커리도 맛있고,,,1,,,,,,,
커피도 맛나요,,1,,,,,,,,
이야기 하기 좋은 룸도 있어요,,,,,,1,,,,
친절,,,,1,,,,,,
리모델링 되고 나서 더 멋뎌요,,,,,,1,,,,
커피드립시켰더니 리필도 되구,,1,,1,,,,,,
로마노 향도 맛도 정말 최고인 듯!!!,,1,,,,,,,,
본점 분위기도 좋고,,,,,,1,,,,
야외 석도 많아 좋아요.,,,,,,1,,,,
태어나서 먹은 커피 중에 제일 맛있음 고급 진 맛 커피를 조금 아는 남자가 아닌 정도임,,1,,,,,,,,
디져트맛나,,,1,,,,,,,
커피 맛집,,1,,,,,,,,
느리게 나오지만 맛있습니다,,1,,1,,,,,,
카페 명칭에 걸맞는 커피와 원두들.,,1,,,,,,,,
눈을 사로잡는 베이커리류까지 맛 좋은 커피를 즐기기에 더할 나위 없는 멋진 카페였습니다.,,1,1,,,,,,,
워낙 유명한 커피 집이라 엄청 기대하고 갔어요.,,1,,,,,,,,
특히 상하 목장 우유로 만든 아이스크림 라떼가 정말 최고였어요.,,1,,,,,,,,
에스프레소도 이제까지 대구에서 마셔 본 어떤에쏘보다 맛있었습니다.,,1,,,,,,,,
일행 중 커피 못 마시는 사람은 청포도 생 과일 주스 마셨는데 너무 맛있다구 난리 남.,,1,,,,,,,,
디저트 빵도 넘나 맛나서 일행 모두 대만족했네요.,,,1,,,,,,,
날이 좋아 밖에서 마실 수 있었던 것도 너무 좋았어요.,,,,,,1,,,,
핸드드립 커피도 맛있고,,1,,,,,,,,
아이스크림도 넘 맛있었어요,,,1,,,,,,,
우유마리토쪼 퀸아망 다 너무 너무 너무 맛있구요!!,,,1,,,,,,,
커피 맛까지 좋으니까 디저트 더 더 더 더 맛있게 느껴지구요,,1,,,,,,,,
시그니쳐 로마노도 한 번 꼭 드셔 보셔야해요!,,1,,,,,,,,
여기 로마노 짱 맛있어용..!!,,1,,,,,,,,
달달하면서 짭짤하면서 아 뭐라 표현을 못 하겠는데 강추 하는 메뉴,,1,,,,,,,,
핸드드립 전문점이라 시간은 좀 걸리지만,,1,,,,,,,,
원하는 원두로 맛있는 커피 마실 수 있는 곳이에요,,1,,,,,,,,
오랜만에 오니 더 분위기 좋고,,,,,,1,,,,
커피는 여전히 맛있어서 기분 좋은 디저트 타임이였어요,,1,1,,,,,,,
커피가 맛있는 집입니다.,,1,,,,,,,,
커피가 맛있어 샌 단장했다길래 다시 방문..,,1,,,,,,,,
친절하고,,,,1,,,,,,
분위기 깨끗한데 좌서이 불편하네요.,,,,1,,1,,,,
커피 맛도 예전 같지 않아요,,1,,,,,,,,
핸드드립 맛집 커조남!,,1,,,,,,,,
일요일 오후 3시쯤 방문했는데 겨우 자리 앉았을 정도로 인기가 많았어요.,,,,,1,1,,,,
드립커피는 에티오피아 G1로 얼 그레이,,1,,,,,,,,
패션후르츠의 컵 노트였는데 에티오피아 원두치고 산미가 잘 안 느껴져서 의외였어요.,,1,,,,,,,,
마리토쪼와 취향에 맞는 드립 커피를 추천 드립니다.,,1,,,,,,,,
분위기가 너무 좋아요,,,,,,1,,,,
음료도 이쁠뿐더러 맛있어요,,1,,,,,,,,
붕어빵 꼭 드세요,,,1,,,,,,,
도미빵 완전 맛있어요,,,1,,,,,,,
속에 팥이랑 쑥떡 같은 것이 쫀득하게 씹혔어요,,,1,,,,,,,
에 그 타르트 위에 조금만 덜 태웠음 더 맛있었을 것 같아요,,,1,,,,,,,
카페 분위기 좋고,,,,,,1,,,,
사진도 잘 나와요,,,,,,1,,,,
디저트 맛집 오늘은 도미 쑥 빵 처음 맛봤는 데,,,1,,,,,,,
한 쫀득쫀득 찐 찹쌀 붕어빵이예요,,,1,,,,,,,
아메리카도 넘 맛있고,,1,,,,,,,,
분위기 깡패 천장 지구,,,,,,1,,,,
와 분위기 진짜,,,,,,1,,,,
예전 레트로 이미지와 클래식한 카페를 원한다면 추천,,,,,,1,,,,
시멘트 커피 아나요,,1,,,,,,,,
초등학교 시절 홍콩 영화 비디오 마지막 세대로서 자욱하고 붉은 분위기가 그때 생각 나게 하네요.,,,,,,1,,,,
홍콩 근처 심천에 살았어서인지 그 때 생각도 나고요.,,,,,,,,,,1
물론 이젠 예전 같은 홍콩은 아니겠지만.,,,,,,,,,,1
커피 맛과 분위기 모두 좋아서 장국영님도 그립고,,1,,,,1,,,,
분위기 있고,,,,,,1,,,,
특이하고 조용하고,,,,,,1,,,,
크로플 되게 맛있었다.,,,1,,,,,,,
"불빛이 아른해서 올라왔는 데 커피도 맛있고 에그 크로와상, 도미쑥빵, 붕어빵, 진짜 너무 맛있어요",,1,1,,,,,,,
우연히 검색해서 들어갔는데 정말 개화기 시대 박물관을 다녀온 듯 인테리어도 예쁘고 좋아요!,,,,,,1,,,,
그리고 시멘트 커피 위에 올려진 흑임자 아이스크림도 맛있음!!!,,1,,,,,,,,
커피 못 드시는 분들은 백도 에이드 강추 합니다!!,,1,,,,,,,,
진짜 너무 맛있어서 다음에 다른 미뉴들도 먹어 보고 샆어요!!,,1,,,,,,,,
버터 커피가 소금 커피처럼 짭쪼름해서 맛있었어용,,1,,,,,,,,
사장님도 친절하시고,,,,1,,,,,,
매장 인테리어도 멋있어용,,,,,,1,,,,
다만 시멘트 커피랑 에그타르트는 별로였어,,1,1,,,,,,,
특별한 컨셉… 유덕화옵 빠가 생각나는 카페… 기대하지 않았는데,,,,,,1,,,,
디저트 맛있어서 깜놀,,,1,,,,,,,
매우 친절하세요,,,,1,,,,,,
회사 근처라 종종 가야겠어,,,,,,,,,,1
분위기가 너무 좋네요,,,,,,1,,,,
레트로풍의 최고조네요,,,,,,1,,,,
신 메뉴 개발 중이라고 시식해 보라고 주셨어요 말차가 들은 붕어빵인 거 같은데 넘나 따끈따끈하니 맛있는 것… 가을 겨울 메뉴에 딱인 거 같아요!!,,,1,,,,,,,
커피는 흑임자 라떼? 시켰는데 저 석상 모양 아이스가 너무 귀엽네요,,1,,,,,,,,
우선 되게 외진 곳에 있는 데 분위기 너무 좋고,,,,,,1,1,,,
커피도 맛있어요!,,1,,,,,,,,
분위기가 홍콩 영화 느낌 깡팹니다,,,,,,1,,,,
꽤 넓고,,,,,,1,,,,
주변도 조용하고,,,,,,,1,,,
크로플이 진짜 맛있어요,,,1,,,,,,,
정말 맛있음 시멘트 커피도 달고 고소하고 맛있어요,,1,,,,,,,,
홍콩 느낌인 듯엔 틱한 인테리어가 마음에 들어 갔는 데 크로플이랑 커피 마시러 가겠어요..,,1,1,,,1,,,,
