reviews,sentiment,price,drink,dessert,service,customers,interior,view,parking,trash
자리가 편안하고,1,0,0,0,0,0,1,0,0,0
빵도 같이 주셔서 좋아요,1,0,0,1,0,0,0,0,0,0
대구 시내에 이렇게 아늑한 분위기의 커피숍이 있는지,1,0,0,0,0,0,1,0,0,0
몰랐어요..,0,0,0,0,0,0,0,0,0,0
옛날 다방 같은 느낌입니다..,1,0,0,0,0,0,1,0,0,0
커피가 맛있고,1,0,1,0,0,0,0,0,0,0
분위기가 좋아요,1,0,0,0,0,0,1,0,0,0
조용하고,1,0,0,0,0,0,1,0,0,0
분위기 넘 좋아요,1,0,0,0,0,0,1,0,0,0
조아용,1,0,0,0,0,0,0,0,0,1
굿,1,0,0,0,0,0,0,0,0,1
굿~,1,0,0,0,0,0,0,0,0,1
조용하고 좋아요.,1,0,0,0,0,0,1,0,0,0
체리 에이드 맛있어요~,1,0,1,0,0,0,0,0,0,0
굿,1,0,0,0,0,0,0,0,0,1
가격이 착하고,0,1,0,0,0,0,0,0,0,0
맛도 좋아요~,1,0,0,0,0,0,0,0,0,1
굿!!,1,0,0,0,0,0,0,0,0,1
